contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
GOOGL230120P01460000,2021-11-29 19:27:55+00:00,1460.0,15.89,8.6,16.0,0.0,0.0,8,13,0.3993742924499512,False,REGULAR,USD
GOOGL230120P01470000,2021-11-29 18:54:31+00:00,1470.0,16.09,9.0,16.5,0.0,0.0,8,27,0.39833670516967773,False,REGULAR,USD
GOOGL230120P01480000,2021-12-21 17:16:11+00:00,1480.0,18.5,9.1,18.5,0.0,0.0,2,80,0.4041731336212159,False,REGULAR,USD
GOOGL230120P01490000,2021-12-03 14:43:11+00:00,1490.0,19.21,10.0,19.0,0.0,0.0,8,8,0.40288377883911136,False,REGULAR,USD
GOOGL230120P01500000,2022-01-03 18:21:46+00:00,1500.0,14.1,9.9,19.5,-4.0,-22.099447,1,230,0.40155627746582034,False,REGULAR,USD
GOOGL230120P01505000,2021-11-10 11:53:34+00:00,1505.0,38.4,15.5,20.5,0.0,0.0,4,4,0.40405869384765625,False,REGULAR,USD
GOOGL230120P01510000,2021-12-21 14:47:50+00:00,1510.0,21.36,10.2,20.0,0.0,0.0,4,4,0.4001830001831055,False,REGULAR,USD
GOOGL230120P01515000,2021-11-10 11:53:35+00:00,1515.0,39.7,13.0,21.0,0.0,0.0,4,4,0.4026091233825684,False,REGULAR,USD
GOOGL230120P01520000,2021-12-21 17:09:09+00:00,1520.0,20.99,10.6,20.5,0.0,0.0,8,25,0.3987792056274414,False,REGULAR,USD
GOOGL230120P01525000,2021-11-10 11:53:35+00:00,1525.0,80.2,13.5,21.4,0.0,0.0,2,1,0.40071705245971684,False,REGULAR,USD
GOOGL230120P01530000,2021-12-17 20:11:42+00:00,1530.0,20.86,11.0,20.7,0.0,0.0,8,16,0.3961165735626221,False,REGULAR,USD
GOOGL230120P01535000,2021-11-10 11:53:35+00:00,1535.0,63.1,14.0,21.9,0.0,0.0,2,3,0.39921407676696774,False,REGULAR,USD
GOOGL230120P01540000,2021-12-02 17:50:09+00:00,1540.0,22.65,12.5,21.0,0.0,0.0,8,39,0.3938582953643799,False,REGULAR,USD
GOOGL230120P01545000,2021-11-10 11:53:35+00:00,1545.0,42.7,14.5,22.4,0.0,0.0,4,5,0.3976805838012696,False,REGULAR,USD
GOOGL230120P01550000,2021-12-07 19:41:54+00:00,1550.0,20.44,12.0,21.5,0.0,0.0,4,20,0.3924010955810546,False,REGULAR,USD
GOOGL230120P01555000,2021-11-10 11:53:35+00:00,1555.0,59.23,15.0,22.9,0.0,0.0,1,4,0.3961165735626221,False,REGULAR,USD
GOOGL230120P01560000,2021-12-20 16:09:06+00:00,1560.0,25.6,12.5,22.0,0.0,0.0,3,15,0.390905749206543,False,REGULAR,USD
GOOGL230120P01565000,2021-12-03 17:52:27+00:00,1565.0,29.4,13.5,22.5,0.0,0.0,2,7,0.39110411148071283,False,REGULAR,USD
GOOGL230120P01570000,2021-12-02 19:10:34+00:00,1570.0,24.16,14.0,22.5,0.0,0.0,8,35,0.3893798855590821,False,REGULAR,USD
