contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
GOOGL230120C01380000,2021-11-10 11:53:20+00:00,1380.0,1551.0,1593.5,1612.5,0.0,0.0,1.0,5,0.6440617869567871,True,REGULAR,USD
GOOGL230120C01400000,2021-12-14 19:53:15+00:00,1400.0,1489.99,1516.5,1536.0,0.0,0.0,1.0,39,0.502759183883667,True,REGULAR,USD
GOOGL230120C01410000,2021-11-10 11:53:20+00:00,1410.0,482.84,1565.0,1583.5,0.0,0.0,10.0,8,0.6316488861846924,True,REGULAR,USD
GOOGL230120C01420000,2021-11-10 11:53:20+00:00,1420.0,1481.04,1555.5,1574.0,0.0,0.0,2.0,4,0.6277541192245484,True,REGULAR,USD
GOOGL230120C01430000,2021-11-10 11:53:20+00:00,1430.0,467.0,1546.0,1564.5,0.0,0.0,3.0,6,0.6238784255599976,True,REGULAR,USD
GOOGL230120C01440000,2021-11-09 17:15:53+00:00,1440.0,1545.42,1536.5,1555.0,0.0,0.0,1.0,10,0.6200218051910402,True,REGULAR,USD
GOOGL230120C01450000,2021-11-10 11:53:20+00:00,1450.0,1286.0,1527.0,1545.5,0.0,0.0,1.0,23,0.6161842581176759,True,REGULAR,USD
GOOGL230120C01460000,2021-11-10 11:53:21+00:00,1460.0,488.6,1517.5,1536.0,0.0,0.0,3.0,5,0.6123619696807864,True,REGULAR,USD
GOOGL230120C01470000,2021-11-10 11:53:21+00:00,1470.0,1439.48,1508.0,1526.5,0.0,0.0,10.0,6,0.6085625691986085,True,REGULAR,USD
GOOGL230120C01480000,2021-11-10 11:53:21+00:00,1480.0,445.85,1498.5,1517.0,0.0,0.0,2.0,4,0.6047784273529054,True,REGULAR,USD
GOOGL230120C01490000,2021-11-16 14:30:05+00:00,1490.0,1498.5,0.0,0.0,0.0,0.0,2.0,10,1.0000000000000003e-05,True,REGULAR,USD
GOOGL230120C01500000,2022-01-03 16:59:08+00:00,1500.0,1425.13,1421.5,1440.5,-69.46997,-4.6480646,1.0,54,0.4759039836883544,True,REGULAR,USD
GOOGL230120C01505000,2021-11-10 11:53:21+00:00,1505.0,421.93,1474.5,1493.0,0.0,0.0,20.0,42,0.5948488696670533,True,REGULAR,USD
GOOGL230120C01510000,2021-11-10 11:53:21+00:00,1510.0,419.05,1470.0,1488.5,0.0,0.0,20.0,0,0.5935328122711183,True,REGULAR,USD
GOOGL230120C01515000,2021-11-05 18:03:07+00:00,1515.0,1490.04,1356.5,1374.5,0.0,0.0,1.0,42,1.0000000000000003e-05,True,REGULAR,USD
GOOGL230120C01520000,2021-11-05 18:03:07+00:00,1520.0,1485.26,1352.0,1370.0,0.0,0.0,1.0,4,1.0000000000000003e-05,True,REGULAR,USD
GOOGL230120C01525000,2021-11-10 11:53:21+00:00,1525.0,461.54,1456.0,1474.5,0.0,0.0,1.0,0,0.5885012768936158,True,REGULAR,USD
GOOGL230120C01530000,2021-11-10 11:53:21+00:00,1530.0,481.45,1451.0,1469.5,0.0,0.0,,0,0.5861171149444581,True,REGULAR,USD
GOOGL230120C01535000,2021-11-10 11:53:21+00:00,1535.0,478.45,1446.5,1465.0,0.0,0.0,1.0,1,0.5848048722076415,True,REGULAR,USD
GOOGL230120C01540000,2021-11-10 11:53:21+00:00,1540.0,1173.51,1441.5,1460.0,0.0,0.0,2.0,4,0.5824321542358398,True,REGULAR,USD
GOOGL230120C01545000,2021-11-10 11:53:21+00:00,1545.0,1168.38,1437.0,1455.5,0.0,0.0,2.0,4,0.5811275408172608,True,REGULAR,USD
GOOGL230120C01550000,2021-10-27 17:44:44+00:00,1550.0,1427.48,1325.0,1343.0,0.0,0.0,1.0,14,1.0000000000000003e-05,True,REGULAR,USD
GOOGL230120C01555000,2021-11-10 11:53:21+00:00,1555.0,1152.05,1427.5,1446.0,0.0,0.0,2.0,4,0.5774616534042358,True,REGULAR,USD
GOOGL230120C01560000,2021-11-10 11:53:21+00:00,1560.0,1262.1,1423.0,1441.5,0.0,0.0,1.0,1,0.5761570399856567,True,REGULAR,USD
GOOGL230120C01565000,2021-11-10 11:53:21+00:00,1565.0,1152.5,1418.0,1436.5,0.0,0.0,1.0,1,0.5738148392868042,True,REGULAR,USD
GOOGL230120C01570000,2021-11-10 11:53:21+00:00,1570.0,1148.0,1413.5,1432.0,0.0,0.0,1.0,1,0.5725140405273439,True,REGULAR,USD
GOOGL230120C01575000,2021-11-10 11:53:21+00:00,1575.0,1208.0,1409.0,1427.0,0.0,0.0,1.0,2,0.5706944481277467,True,REGULAR,USD
GOOGL230120C01580000,2021-12-17 20:50:54+00:00,1580.0,1291.5,1345.5,1365.0,0.0,0.0,1.0,66,0.4569680158233643,True,REGULAR,USD
GOOGL230120C01585000,2021-11-10 11:53:21+00:00,1585.0,1130.44,1399.5,1418.0,0.0,0.0,2.0,12,0.5675816862869263,True,REGULAR,USD
GOOGL230120C01590000,2021-10-27 18:42:54+00:00,1590.0,1385.0,1288.5,1306.5,0.0,0.0,1.0,3,1.0000000000000003e-05,True,REGULAR,USD
GOOGL230120C01600000,2021-12-31 19:42:12+00:00,1600.0,1344.81,1327.0,1346.0,0.0,0.0,1.0,47,0.45184492862701425,True,REGULAR,USD
GOOGL230120C01610000,2021-11-10 11:53:21+00:00,1610.0,1234.4,1376.0,1394.5,0.0,0.0,1.0,6,0.5590788111114503,True,REGULAR,USD
GOOGL230120C01620000,2021-11-26 15:02:27+00:00,1620.0,1285.0,1355.5,1373.5,0.0,0.0,1.0,6,0.5327004433059692,True,REGULAR,USD
GOOGL230120C01630000,2021-11-10 11:53:21+00:00,1630.0,1168.28,1357.5,1375.5,0.0,0.0,1.0,13,0.5524222309494018,True,REGULAR,USD
GOOGL230120C01640000,2021-11-10 11:53:21+00:00,1640.0,814.2,1348.0,1366.5,0.0,0.0,1.0,4,0.5493514303588869,True,REGULAR,USD
GOOGL230120C01650000,2021-11-10 11:53:21+00:00,1650.0,1121.97,1339.0,1357.0,0.0,0.0,1.0,11,0.546288259086609,True,REGULAR,USD
GOOGL230120C01660000,2021-12-23 20:05:00+00:00,1660.0,1336.54,1270.5,1290.0,0.0,0.0,7.0,85,0.4389475661468506,True,REGULAR,USD
GOOGL230120C01670000,2021-11-10 11:53:22+00:00,1670.0,1210.24,1320.0,1338.5,0.0,0.0,2.0,5,0.5397003427886964,True,REGULAR,USD
GOOGL230120C01680000,2021-12-23 20:05:00+00:00,1680.0,1318.14,1252.0,1271.5,0.0,0.0,7.0,128,0.4349726913452149,True,REGULAR,USD
GOOGL230120C01690000,2021-11-10 11:53:22+00:00,1690.0,1211.56,1301.5,1320.0,0.0,0.0,1.0,2,0.5336159614944459,True,REGULAR,USD
GOOGL230120C01700000,2022-01-03 18:06:19+00:00,1700.0,1248.8,1233.5,1253.0,-7.25,-0.5772063,2.0,61,0.430944411315918,True,REGULAR,USD
GOOGL230120C01720000,2021-11-10 11:53:22+00:00,1720.0,1058.0,1274.0,1292.0,0.0,0.0,2.0,2,0.5245218141555786,True,REGULAR,USD
GOOGL230120C01740000,2021-11-10 11:53:22+00:00,1740.0,646.83,1255.0,1273.0,0.0,0.0,20.0,21,0.5175867638778686,True,REGULAR,USD
