Date,Open,High,Low,Close,Adj Close,Volume
2017-10-03,6.330000,6.420000,6.101000,6.370000,6.370000,367400
2017-10-04,6.360000,6.367000,6.240000,6.300000,6.300000,201100
2017-10-05,6.270000,6.370000,6.250000,6.340000,6.340000,241900
2017-10-06,6.350000,6.360000,6.220000,6.260000,6.260000,241400
2017-10-09,6.220000,6.300000,6.000000,6.050000,6.050000,477100
2017-10-10,6.050000,6.230000,6.015000,6.080000,6.080000,176900
2017-10-11,6.110000,6.170000,5.900000,5.930000,5.930000,343200
2017-10-12,5.940000,6.080000,5.900000,6.050000,6.050000,191400
2017-10-13,6.030000,6.080000,5.860000,5.920000,5.920000,343900
2017-10-16,5.860000,5.978000,5.760000,5.890000,5.890000,266000
2017-10-17,5.850000,5.921000,5.730000,5.750000,5.750000,210200
2017-10-18,5.740000,5.860000,5.670000,5.690000,5.690000,219800
2017-10-19,5.680000,5.800000,5.580000,5.630000,5.630000,224400
2017-10-20,5.670000,5.709000,5.500000,5.560000,5.560000,230900
2017-10-23,5.570000,5.690000,5.500000,5.580000,5.580000,243000
2017-10-24,5.860000,6.400000,5.760000,5.900000,5.900000,1400500
2017-10-25,5.940000,5.990000,5.720000,5.780000,5.780000,325600
2017-10-26,5.780000,5.920000,5.700000,5.760000,5.760000,219000
2017-10-27,5.750000,5.830000,5.650000,5.770000,5.770000,191000
2017-10-30,5.800000,5.940000,5.732000,5.790000,5.790000,146200
2017-10-31,5.850000,5.850000,5.720000,5.760000,5.760000,164000
2017-11-01,5.810000,5.810000,5.550000,5.630000,5.630000,272500
2017-11-02,5.660000,5.750000,5.570000,5.690000,5.690000,183100
2017-11-03,5.660000,5.855000,5.580000,5.730000,5.730000,157100
2017-11-06,5.750000,6.300000,5.750000,6.110000,6.110000,378400
2017-11-07,6.110000,6.170000,5.670000,5.740000,5.740000,349100
2017-11-08,5.160000,5.300000,4.700000,5.270000,5.270000,925500
2017-11-09,5.190000,5.190000,5.000000,5.040000,5.040000,351300
2017-11-10,4.970000,5.400000,4.970000,5.370000,5.370000,291100
2017-11-13,5.350000,5.420000,5.150000,5.320000,5.320000,136600
2017-11-14,5.250000,5.369000,5.110000,5.210000,5.210000,256600
2017-11-15,5.150000,5.330000,5.057000,5.130000,5.130000,198300
2017-11-16,5.110000,5.270000,5.000000,5.040000,5.040000,393100
2017-11-17,5.040000,5.109000,4.960000,4.970000,4.970000,218500
2017-11-20,5.060000,5.090000,4.660000,4.680000,4.680000,668600
2017-11-21,4.770000,4.780000,4.200000,4.300000,4.300000,712300
2017-11-22,4.270000,4.340000,4.110000,4.180000,4.180000,709100
2017-11-24,4.210000,4.270000,4.120000,4.150000,4.150000,235000
2017-11-27,4.150000,4.200000,3.300000,3.730000,3.730000,2903100
2017-11-28,3.720000,4.090000,3.690000,4.070000,4.070000,671200
2017-11-29,4.050000,4.130000,3.922000,4.010000,4.010000,295700
2017-11-30,3.990000,4.170000,3.990000,4.120000,4.120000,244900
2017-12-01,4.140000,4.169000,3.910000,4.020000,4.020000,212100
2017-12-04,4.080000,4.140000,3.960000,4.050000,4.050000,218000
2017-12-05,4.050000,4.090000,3.930000,3.970000,3.970000,416300
2017-12-06,3.930000,4.030000,3.840000,3.910000,3.910000,355800
2017-12-07,3.870000,4.038000,3.860000,4.010000,4.010000,315900
2017-12-08,4.050000,4.180000,3.980000,4.150000,4.150000,303500
2017-12-11,4.230000,4.480000,4.170000,4.220000,4.220000,481200
2017-12-12,4.290000,4.410000,4.220000,4.270000,4.270000,227700
2017-12-13,4.290000,4.730000,4.290000,4.690000,4.690000,389100
2017-12-14,4.700000,5.154000,4.660000,4.750000,4.750000,592100
2017-12-15,4.740000,4.980000,4.640000,4.840000,4.840000,610000
2017-12-18,4.850000,5.020000,4.610000,4.650000,4.650000,472900
2017-12-19,4.660000,4.790000,4.610000,4.670000,4.670000,326300
2017-12-20,4.690000,4.690000,4.410000,4.510000,4.510000,408500
2017-12-21,4.510000,4.730000,4.480000,4.610000,4.610000,332100
2017-12-22,4.640000,4.790000,4.540000,4.580000,4.580000,302700
2017-12-26,4.550000,4.719000,4.500000,4.500000,4.500000,405100
