Date,Open,High,Low,Close,Adj Close,Volume
2016-12-21,78.480003,78.550003,77.980003,78.139999,75.652512,9343600
2016-12-22,78.019997,78.059998,77.190002,77.900002,75.420174,12074000
2016-12-23,78.080002,78.480003,77.900002,78.150002,75.662193,6192900
2016-12-27,78.269997,78.849998,78.230003,78.349998,75.855843,3776000
2016-12-28,78.400002,78.650002,77.970001,78.300003,75.807449,7587100
2016-12-29,78.489998,78.839996,78.300003,78.330002,75.836487,6241100
2016-12-30,78.430000,78.540001,77.940002,78.019997,75.536324,7127300
2017-01-03,78.760002,79.910004,78.489998,79.500000,76.969231,13785200
2017-01-04,79.440002,80.260002,79.360001,80.150002,77.598541,8033100
2017-01-05,80.339996,81.529999,80.220001,81.089996,78.508621,7805100
2017-01-06,81.300003,82.489998,80.940002,82.209999,79.592964,8898300
2017-01-09,82.279999,82.449997,81.650002,81.750000,79.147598,7305300
2017-01-10,81.699997,81.900002,81.129997,81.309998,78.721588,6017500
2017-01-11,81.250000,81.800003,80.910004,81.800003,79.196014,7499200
2017-01-12,81.050003,81.470001,80.510002,81.370003,78.779701,6884000
2017-01-13,81.019997,81.849998,80.790001,81.169998,78.586060,7291200
2017-01-17,80.760002,81.489998,80.760002,81.260002,78.673225,6326500
2017-01-18,81.269997,81.830002,80.980003,81.589996,78.992683,8512300
2017-01-19,81.790001,81.849998,81.410004,81.730003,79.128235,6479400
2017-01-20,82.089996,82.279999,81.610001,81.839996,79.234726,9048500
2017-01-23,81.699997,82.300003,81.500000,82.150002,79.534843,7414200
2017-01-24,82.400002,83.489998,81.849998,83.230003,80.580482,8397500
2017-01-25,83.790001,84.269997,83.449997,83.900002,81.229156,9360900
2017-01-26,83.919998,83.919998,83.080002,83.239998,80.590172,8428200
2017-01-27,83.320000,83.800003,82.919998,83.769997,81.103287,5445900
2017-01-30,83.470001,83.739998,82.660004,83.699997,81.035507,8792800
2017-01-31,82.129997,83.279999,82.099998,82.709999,80.077049,7479400
2017-02-01,82.900002,83.089996,82.050003,82.440002,79.815651,7534400
2017-02-02,82.139999,82.699997,81.570000,82.300003,79.680084,11142300
2017-02-03,85.739998,86.820000,85.110001,86.080002,83.339760,28079600
2017-02-06,86.070000,86.099998,85.510002,85.830002,83.097710,9665300
2017-02-07,85.959999,86.349998,85.669998,85.779999,83.049294,8600300
2017-02-08,85.800003,85.839996,85.080002,85.089996,82.381264,7587700
2017-02-09,85.370003,85.769997,84.879997,85.580002,82.855705,6554700
2017-02-10,85.800003,86.139999,85.230003,85.900002,83.165489,10432000
2017-02-13,86.199997,86.699997,86.000000,86.440002,83.688293,6046300
2017-02-14,86.519997,86.970001,86.260002,86.849998,84.085251,5952000
2017-02-15,87.019997,87.540001,86.699997,87.540001,84.914612,8049700
2017-02-16,87.550003,87.680000,86.790001,87.410004,84.788498,8680600
2017-02-17,87.269997,87.680000,86.980003,87.459999,84.837021,5887200
2017-02-21,87.510002,88.040001,87.169998,87.919998,85.283203,9301300
2017-02-22,87.610001,88.150002,87.510002,87.800003,85.166794,8389900
2017-02-23,88.230003,88.489998,87.870003,88.180000,85.535393,6040500
2017-02-24,87.360001,88.430000,87.300003,88.430000,85.777924,5151300
2017-02-27,88.320000,88.379997,87.910004,88.000000,85.360817,6131600
2017-02-28,88.160004,88.379997,87.760002,87.940002,85.302635,8521900
2017-03-01,88.739998,89.139999,88.419998,88.989998,86.321121,11131400
2017-03-02,89.000000,89.129997,88.099998,88.529999,85.874908,10544200
2017-03-03,88.309998,88.910004,88.180000,88.790001,86.127144,5700600
2017-03-06,88.529999,89.269997,88.269997,88.940002,86.272629,7347600
2017-03-07,88.989998,89.300003,88.849998,89.059998,86.389015,5688400
2017-03-08,89.169998,89.300003,88.870003,88.959999,86.292015,5866800
